title,description,created on,duration,engagement,fixed job amount (USD),hourly budget,client location,is Payment verified,total spent (USD),total reviews,feedback,experience level,proposal tier,is enterprise,connect price,job url 
"Educational Video Editor

","We are seeking a highly skilled and creative Video Editor to join our team on
a freelance basis. As a Video Editor, you will play a crucial role in
transforming raw footage into captivating video content that meets our
clients' expectations. You will have the opportunity to work on a wide range
of projects across various industries, including promotional videos, social
media content, documentaries, corporate videos, and more. Responsibilities: •
Collaborate with our clients and team members to understand project
requirements and objectives. • Review and organize raw video footage, ensuring
all necessary files are accessible and well-structured. • Edit and enhance
video content by selecting the most compelling shots, applying color
correction, audio editing, and adding special effects as needed. • Create
visually appealing transitions, text overlays, and animations to enhance
storytelling and engagement. • Ensure a seamless flow and rhythm in the final
video by carefully trimming, arranging, and sequencing clips. • Incorporate
high-quality music and sound effects to enhance the overall production value.
• Optimize video content for various platforms, including social media,
websites, and mobile devices. • Collaborate closely with the creative team,
providing valuable input and suggestions during the editing process. • Stay
updated with the latest video editing techniques, software, and industry
trends to continuously improve your skills and deliver exceptional results. •
Meet project deadlines while maintaining a high level of quality and attention
to detail.

",2023-05-11T20:04:20+00:00,Less than 1 month,,               50.00,,United States,Yes,                0.00,0,No feedback yet,Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~018b1072603a3e6cf7)
"Creative Video Editor

","We are seeking a highly skilled and creative Video Editor to join our team on
a freelance basis. As a Video Editor, you will play a crucial role in
transforming raw footage into captivating video content that meets our
clients' expectations. You will have the opportunity to work on a wide range
of projects across various industries, including promotional videos, social
media content, documentaries, corporate videos, and more. Responsibilities: •
Collaborate with our clients and team members to understand project
requirements and objectives. • Review and organize raw video footage, ensuring
all necessary files are accessible and well-structured. • Edit and enhance
video content by selecting the most compelling shots, applying color
correction, audio editing, and adding special effects as needed. • Create
visually appealing transitions, text overlays, and animations to enhance
storytelling and engagement. • Ensure a seamless flow and rhythm in the final
video by carefully trimming, arranging, and sequencing clips. • Incorporate
high-quality music and sound effects to enhance the overall production value.
• Optimize video content for various platforms, including social media,
websites, and mobile devices. • Collaborate closely with the creative team,
providing valuable input and suggestions during the editing process. • Stay
updated with the latest video editing techniques, software, and industry
trends to continuously improve your skills and deliver exceptional results. •
Meet project deadlines while maintaining a high level of quality and attention
to detail.

",2023-05-11T19:50:04+00:00,Less than 1 month,,               75.00,,United States,Yes,                0.00,0,No feedback yet,Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~018ab2f1aeb82b6e91)
"YouTube CashCow Team For Financial Explainer Whiteboard Videos

","In search of a professional and experienced Team to handle the full video
creation process, producing high-quality Youtube content/videos in the length
of around 10 minutes, 8-10 videos produced per month. *Please read this
carefully before applying for this job.* Team to consist of: \- Voiceover
Actor (USA/UK/Canadian Male/Female), \- Video Editor for white board video’s
\- Thumbnail Designer. The ideal candidate/team will have worked on YouTube
automation channels before with measurable success, have extensive knowledge
of Youtube guidelines/copyright rules/fair use policies, strong editing
skills, Videos must be able to be monetized. We will provide the script and
you would create the content/video around it. Video workflow: 2-8 seconds bait
intro, channel intro, Subscribe pop-up, and then keep the content in the body
edited in a way that is funny, engaging, and entertaining. Ending with channel
end screen. The videos will be made in the financial niche This would consist
of: * Performing a voiceover (no AI voiceover) in an excited, engaging, and
energetic tonality. * Mix/Master/Sync the audio to the video, editing out
pauses and breaths. * Add in copyright-free sound effects/background music
where applicable, not in excess. * Source and use copyright-free clips and
have stock footage access to use licensed clips. * Edit the video in a binge-
able type style that is captivating to the audience, CTR and retention rate
focused, 1080p HD+, and make use of lower-thirds/text/transitions where
applicable. Professional video editing software only - Adobe Premiere Pro,
Davinci Resolve, or Final Cut Pro. * Make Shorts videos out of the full-length
video. * Create highly engaging, clickbait thumbnails. * Fluent English. Must
have: * In-Depth understanding of CTR and Clickbait Thumbnails. * Experienced
in producing binge-able content with Youtube. * Understanding on how to keep
viewers engaged with good pacing, transitions, etc. * Is committed to high
quality without the need for lots of revisions. * Is organized, communicative,
and has fast turnaround times. Priority is given to the Team that best matches
the Job Description. The budget is $40 to $60 per video, negotiable for higher
pay for **proven work of high quality and results-based track record**. Please
send current portfolio/sample work for review.

",2023-05-09T11:35:06+00:00,More than 6 months,,               50.00,,Netherlands,Yes,               70.00,2,"5.00 Stars, based on 2 feedbacks",Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~017d58c6f9546200f6)
"Need a video editor for long term🎉🔥

","hello freelancers,(AI generated proposal is not acceptable) I’m looking for a
Video Editor who understands how to make professional pieces of content for
Youtube channels. What I’m looking for is a video editor who has experience in
Adobe Premiere Pro, and a candidate who can deliver High-Quality videos (Most
of the time for YouTube), in a short period of time. mainly I will edit videos
from you like this:
https://www.youtube.com/watch?v=xpsg_J_KvoI&ab_channel=LucasTech
https://www.youtube.com/watch?v=xej0Uzz0140&t=31s&ab_channel=IGN note: please
attach your few samples and I also take a trail Indications: \- Eliminate
moments of silence or long pauses in the audio. \- Add texts and stock videos
to make the video entertaining \- Make sure that the clips show exactly what
the narrator is talking about. \- Add music and sound effects. \- Do not add
clips longer than 5-7 seconds, the video has to be dynamic. \- Do not repeat
clips more than twice. \- If you’re going to use YouTube clips make sure it
doesn't last longer than 4 seconds and it doesn't show a watermark -Have Story
blocks or Envato payment method: I will pay you 10(for 10 minutes video)
dollars for one video i will pay you weekly according to the videos you make
mostly there is only 5 to 4 video in a week and you can earn almost 160$ (only
serious freelancer contact me)

",2023-05-08T09:18:50+00:00,More than 6 months,,               50.00,,Pakistan,Yes,                0.00,0,No feedback yet,Intermediate,10 to 15,False,6,[jobLink](https://www.upwork.com/jobs/~013bf0bfab9943fce4)
"Hiring Personal Video Editor for videos with dark humor and for gameplay
videos

","We are seeking talented video editors to join our team and help create
engaging and entertaining content for our dark comedy gaming channel. As a
video editor, you will work closely with our content creators to craft
visually stunning videos that showcase our unique blend of humor and gaming.
Responsibilities include: 1\. Collaborating with content creators to develop
video concepts and execute them to the highest standard 2.Editing gameplay
footage to create compelling narratives and highlight key moments 3.Adding
visual effects, sound effects, and music to enhance the overall viewing
experience 4.Ensuring that all videos are delivered on time and meet our
quality standards 5\. Staying up to date with industry trends and technologies
to continuously improve our video production processes The ideal candidate
will have: 1.Strong video editing skills and experience with video editing
software such as Adobe Premiere Pro or Final Cut Pro 2\. A creative eye and
ability to tell a story through video 3.A passion for gaming and familiarity
with gaming culture and trends 4\. Experience with color grading, audio
mixing, and visual effects 5.Strong attention to detail and ability to work
independently as well as part of a team If you have a dark sense of humor and
are passionate about video editing and gaming, we want to hear from you!

",2023-05-07T22:54:17+00:00,Less than 1 month,,               45.00,,United States,Yes,               45.00,1,"4.80 Stars, based on 1 feedback",Intermediate,5 to 10,False,4,[jobLink](https://www.upwork.com/jobs/~01b441bc1267e25530)
"I need a short video editor who can edit in few hours urgent🥵

","hello freelancers,(AI generated proposal is not acceptable) I’m looking for a
Video Editor who understands how to make professional pieces of content for
YouTube channels. What I’m looking for is a video editor who has experience in
Adobe Premiere Pro, and a candidate who can deliver High-Quality videos (Most
of the time for YouTube), in a short period of time. Benefits: * 5$ per Edited
* Remote Jobe * Full Access to Courses And Creative Materials * Up to 100
Videos To Edit Per Month. (500$)/mo Examples that we are looking for:
https://www.instagram.com/reel/CpV0IoDALp1/ note: please attach your few
samples and I also take a trail Indications: \- Eliminate moments of silence
or long pauses in the audio. \- Add texts and stock videos to make the video
entertaining \- Make sure that the clips show exactly what the narrator is
talking about. \- Add music and sound effects. \- Do not add clips longer than
5-7 seconds, the video has to be dynamic. \- Do not repeat clips more than
twice. \- If you’re going to use YouTube clips make sure it doesn't last
longer than 4 seconds and it doesn't show a watermark -Have Story blocks or
Envato payment method: I will pay you 5 dollars for one video i will pay you
weekly according to the videos you make mostly there is only 25 of one minutes
video in a week and you can earn almost 500$ (only serious freelancer contact
me)

",2023-05-07T20:13:11+00:00,1 to 3 months,,              500.00,,Pakistan,Yes,                0.00,0,No feedback yet,Expert,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~01fe2dabd11ed498d1)
"Proffesional YouTube video editing

","We are looking for a skilled video editor to assist us in creating high-
quality content for our YouTube channel. The successful candidate will be
responsible for editing raw footage, creating engaging visual content, and
delivering a polished final product that meets our standards and satisfies our
audience. The project will involve the following tasks: Editing raw footage
into a polished and engaging final product Adding music, sound effects, and
other audio elements to enhance the video's impact Incorporating animations,
graphics, and other visual effects to create a dynamic and engaging viewing
experience Ensuring that the video content meets our branding and style
guidelines Collaborating with the content creators to ensure the video content
aligns with our goals and objectives Delivering high-quality video content on
time and on budget.

",2023-05-06T11:55:57+00:00,1 to 3 months,,               50.00,,Bosnia and Herzegovina,No,                0.00,0,No feedback yet,Intermediate,5 to 10,False,4,[jobLink](https://www.upwork.com/jobs/~0173295905f0f56cdf)
"Video editing For YouTube

","A video editor's job involves assembling and editing raw footage into a
cohesive and polished final product. This involves selecting the best shots,
arranging them in a logical sequence, and enhancing the visual and audio
elements to create a compelling narrative. Video editors work closely with
directors, producers, and other members of the production team to ensure that
the final product meets the project's goals and objectives. They may also be
involved in creating special effects, sound effects, and music scores to
enhance the video's overall impact. To be successful in a video editing job,
one should have a solid understanding of video editing software, such as Adobe
Premiere Pro, Final Cut Pro, or Avid Media Composer. They should also have a
good eye for visual composition, a keen sense of timing, and strong
storytelling skills. Additionally, they should have strong communication and
collaboration skills to work effectively with the rest of the production team.

",2023-05-06T08:32:26+00:00,More than 6 months,,                5.00,,India,No,                0.00,0,No feedback yet,Expert,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~018a16fc7cca3641b2)
"Educational Video Editor

","We are looking for an experienced video editor to join our team and help us
create high-quality educational content for our online courses. The ideal
candidate will have experience in video production and post-production, as
well as a strong understanding of educational content creation and
instructional design. You should be able to take raw footage and turn it into
engaging, informative video content that helps our learners master new skills
and concepts. Responsibilities: Edit raw footage into high-quality educational
video content that aligns with our course objectives and instructional design.
Collaborate with our instructional design team to develop video concepts,
storyboards, and scripts that support learning outcomes. Select and edit
music, sound effects, and other audio elements to enhance video content and
reinforce key concepts. Use video editing software and tools to create
visually appealing and engaging educational video content that resonates with
our learners. Optimize video content for online delivery, including
compression, file formats, and streaming platforms. Stay up-to-date with
educational content creation best practices, including instructional design,
video production, and learning technology.

",2023-05-03T21:26:02+00:00,Less than 1 month,,               80.00,,United States,Yes,                0.00,0,No feedback yet,Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~01358690ee07d38e5e)
"Social Media Video Editor

","We are looking for a skilled video editor with experience in social media
content creation to join our team. The ideal candidate will be able to take
raw footage and turn it into engaging, dynamic video content optimized for
social media channels. You should have experience in video production,
editing, and post-production, as well as a strong understanding of social
media trends and best practices. You will work closely with our marketing team
to create video content that supports our brand and marketing goals.
Responsibilities: Edit raw footage into high-quality video content optimized
for social media channels, including Instagram, TikTok, Facebook, and YouTube.
Collaborate with our marketing team to develop video concepts and storyboards
that align with our brand and marketing goals. Select and edit music, sound
effects, and other audio elements to enhance video content. Optimize video
content for each social media channel, including aspect ratio, video length,
and other platform-specific requirements. Use video editing software and tools
to create visually appealing and engaging video content that resonates with
our target audience. Stay up-to-date with social media trends, best practices,
and emerging technologies, and make recommendations to improve content quality
and user experience.

",2023-05-03T21:12:51+00:00,Less than 1 month,,               50.00,,United States,Yes,                0.00,0,No feedback yet,Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~01e81ae5b6c8f47950)
"High Profile video editor

","I’m looking for a Video Editor who understands how to make professional pieces
of content for Youtube channels. What I’m looking for is a video editor who
has experience in Adobe Premiere Pro and AFTER EFFECTS, and a candidate who
can deliver High-Quality videos (Most of the time for Youtube), in a short
period of time. What you will be making is mini-movies, so this is a task that
requires a lot of effort in making professional animations that have something
related to the voiceover. Reference: Editing style Magnatesmedia Vox Moon
Indications: \- Eliminate moments of silence or long pauses in the audio. \-
Add texts and stock videos to make the video entertaining \- Make sure that
the clips show exactly what the narrator is talking about. \- Add music and
sound effects. \- Do not add clips longer than 5-7 seconds, the video has to
be dynamic. \- Do not repeat clips more than twice. \- If you’re going to use
youtube clips make sure it doesn't last longer than 4 seconds and it doesn't
show a watermark -Have Storyblocks or Envato Payments should be per project.
Usually, the duration of these videos is 5-10 minutes. This editing style is
unique, so I'm willing to pay higher prices if you fulfill my expectations.
Looking forward to working with you!

",2023-05-02T23:00:45+00:00,More than 6 months,,               60.00,,Venezuela,Yes,               42.00,1,"5.00 Stars, based on 1 feedback",Expert,Less than 5,False,6,[jobLink](https://www.upwork.com/jobs/~01399d06563c63d61f)
"Editorial Video Edtor

","Job Description: As an Editorial Video Editor - Stock Footage Specialist, you
will play a crucial role in transforming raw footage and stock materials into
visually compelling videos. Your primary responsibility will be to craft
engaging narratives using stock footage, aligning them with our clients' goals
and objectives. You will work closely with our creative team to ensure the
final product meets or exceeds the expectations of our clients.
Responsibilities: -Collaborate with the creative team to understand the
project's goals and objectives. Select appropriate stock footage based on the
script, storyboard, or creative brief. -Organize and manage a large library of
stock footage to ensure efficient and seamless access. -Edit and assemble
stock footage to create engaging video sequences. -Enhance the visual appeal
of the video through color grading and other post-production techniques. -Add
music, sound effects, and voiceovers to complement the footage. -Ensure a
smooth and seamless transition between different video elements. -Maintain a
strong understanding of current trends and techniques in stock footage usage.
-Communicate effectively with the team to deliver projects within deadlines.
Requirements: -Proven experience as a Video Editor or similar role.
-Proficiency in video editing software such as Adobe Premiere Pro, Final Cut
Pro, or similar tools. -Strong knowledge of stock footage platforms and
libraries. -Creative mindset with the ability to think outside the box and
utilize stock footage in unique ways. -Strong understanding of storytelling
techniques and visual composition. -Solid understanding of color grading,
audio mixing, and other post-production processes. -Ability to work
independently and as part of a team, managing multiple projects
-simultaneously. -Strong attention to detail and ability to meet tight
deadlines. -Excellent communication and collaboration skills. Preferred
Qualifications: -Experience working in a creative agency or media production
company. -Familiarity with motion graphics and animation techniques. -Basic
knowledge of copyright laws and licensing for stock footage usage. -Portfolio
or reel demonstrating previous work with stock footage.

",2023-05-02T22:48:39+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$4.00-$10.00,United States,Yes,                0.00,0,No feedback yet,Entry level,5 to 10,False,4,[jobLink](https://www.upwork.com/jobs/~01b19fc785407b91a2)
"Editorial Video Editor - Stock Footage Specialist

","Job Description: As an Editorial Video Editor - Stock Footage Specialist, you
will play a crucial role in transforming raw footage and stock materials into
visually compelling videos. Your primary responsibility will be to craft
engaging narratives using stock footage, aligning them with our clients' goals
and objectives. You will work closely with our creative team to ensure the
final product meets or exceeds the expectations of our clients.
Responsibilities: -Collaborate with the creative team to understand the
project's goals and objectives. Select appropriate stock footage based on the
script, storyboard, or creative brief. -Organize and manage a large library of
stock footage to ensure efficient and seamless access. -Edit and assemble
stock footage to create engaging video sequences. -Enhance the visual appeal
of the video through color grading and other post-production techniques. -Add
music, sound effects, and voiceovers to complement the footage. -Ensure a
smooth and seamless transition between different video elements. -Maintain a
strong understanding of current trends and techniques in stock footage usage.
-Communicate effectively with the team to deliver projects within deadlines.
Requirements: -Proven experience as a Video Editor or similar role.
-Proficiency in video editing software such as Adobe Premiere Pro, Final Cut
Pro, or similar tools. -Strong knowledge of stock footage platforms and
libraries. -Creative mindset with the ability to think outside the box and
utilize stock footage in unique ways. -Strong understanding of storytelling
techniques and visual composition. -Solid understanding of color grading,
audio mixing, and other post-production processes. -Ability to work
independently and as part of a team, managing multiple projects
-simultaneously. -Strong attention to detail and ability to meet tight
deadlines. -Excellent communication and collaboration skills. Preferred
Qualifications: -Experience working in a creative agency or media production
company. -Familiarity with motion graphics and animation techniques. -Basic
knowledge of copyright laws and licensing for stock footage usage. -Portfolio
or reel demonstrating previous work with stock footage.

",2023-05-02T19:46:30+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~01680e38fb3422ef77)
"YouTube video creator (using stock footage/B-roll clips) + YouTube Thumbnail
creation

","(Please don't waste credits applying unless you meet all the ""Preferred
Qualifications"".) I am starting a new YouTube channel. I would need you to
commit to creating at least one 12-16 minute youtube video, one Youtube short,
and one/two thumbnails every week with this task. If you can do more than
that, great! I would provide the script and the audio voiceover. This is the
style of the videos (not my channel, mine will focus on sleep):
https://www.youtube.com/@DiabetesSmartsProgram/videos This is their most
popular video: https://www.youtube.com/watch?v=T3js7yBbRRg So they need to be
highly engaging videos e.g. lots of transitions, sound effects, music, and
different styles of text appearing on screen etc. Basically like the videos on
that channel, but this channel will focus on sleep. They also do animations in
their videos. We won't need that to start with, b-roll should be fine, but we
may want it in the future if things work out. It will start as a trial for a
few weeks, and if it's a good fit, potential for mid- to long-term
arrangement. If you do not have access to good video software with B-roll
clips, I can provide you with access to my wave.video account. Put your
favourite colour as the first line of your proposal. I look forward to hearing
from you.

",2023-05-02T00:07:53+00:00,Less than 1 month,Hours to be determined,                0.00,$3.00-$5.00,Australia,Yes,"            1,956.85",4,"5.00 Stars, based on 4 feedbacks",Entry level,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~01b05d6b03e4d1e4b7)
"TEAM for 3/4 youtube auomation channels

","We're looking for a professional and experienced team to handle the full video
creation process, producing high-quality YouTube content/videos that are
around 3/4 minutes long, with 10 videos produced for the first month for 3
channels with all different niches. The channels are in the business/celebrity
niche, economic niche and science niche. So it would be nice if the team
already has experience with these topics. Before applying, please read the
following carefully: \- The team should consist of a scriptwriter, a voiceover
actor (male from the USA, UK, or Canada), a video editor, and a thumbnail
designer. \- The ideal candidate/team will have worked on successful YouTube
automation channels before, have extensive knowledge of YouTube guidelines,
copyright rules, fair use policies, and have strong editing skills. They
should also have access to stock footage sites and experience using VidIQ or
TubeBuddy. The videos must be able to be monetized. \- We will provide the
idea/topic, along with some preliminary research/angles/samples, and the team
would create the content/video around it. Intro/end screen/subscribe pop-up
templates will be included. \- The video workflow should include a 10-second
bait intro, channel intro, follow IG/subscribe pop-ups, and then the content
in the body should be edited in a way that is funny, engaging, and
entertaining, ending with a channel end screen. This includes: \- Writing an
original, well-researched script with an entertaining style and a 10-second
hook. The script must be factually accurate, plagiarism-free, and pass
Copyscape 100%. \- Performing a voiceover (no AI voiceover) in an excited,
engaging, and energetic tone. \- Mixing/mastering/syncing the audio to the
video, editing out pauses and breaths. \- Adding in copyright-free sound
effects/background music where applicable, but not in excess. Sourcing and
using copyright-free clips and having access to licensed clips. \- Editing the
video in a bingeable style that is captivating to the audience, with a focus
on CTR and retention rate. The video should be 1080p HD+ and make use of
lower-thirds/text/transitions where applicable. Only professional video
editing software should be used, such as Adobe Premiere Pro, Davinci Resolve,
or Final Cut Pro. \- Creating highly engaging, clickbait thumbnails. \- Having
fluent English. The team must have: \- An in-depth understanding of CTR and
clickbait thumbnails. Experience producing bingeable content for YouTube. An
understanding of how to keep viewers engaged with good pacing, transitions,
etc. Entertain, motivate and inspire the audience. \- A commitment to high
quality without the need for many revisions. Good organization, communication,
and fast turnaround times. Priority will be given to the team that best
matches the job description. - The budget is $20 per video, but negotiable for
higher pay for proven work of high quality and a results-based track record.
Are you interested please let us know and send a current portfolio/sample work
for review and start your reply with ‘i read everything’.

",2023-04-24T11:46:54+00:00,3 to 6 months,,               20.00,,Netherlands,Yes,                0.00,0,No feedback yet,Intermediate,5 to 10,False,2,[jobLink](https://www.upwork.com/jobs/~013fa4d29a2b01ac00)
"Video Editor for YouTube Channel

","Job Description: We are looking for a skilled freelance video editor to join
our real estate YouTube channel team. The ideal candidate should have
experience in editing real estate-related content for YouTube channels and be
proficient in Adobe Creative Suite. Responsibilities: Edit and post-produce
real estate-related video content for our YouTube channel, including property
walkthroughs, virtual tours, market updates, general real estate information
for buyers, and other promotional videos. Collaborate with our team to ensure
the videos meet our brand standards and vision. Enhance the overall quality of
the videos by adding animations, graphics, music, and sound effects using
Adobe Creative Suite. Optimize videos for SEO and social media platforms.
Ensure timely delivery of edited videos. Requirements: Proven experience in
editing real estate-related content for YouTube channels. Proficiency in Adobe
Creative Suite, particularly Adobe Premiere Pro. Strong skills in color
correction, audio mixing, and visual effects. Knowledge of YouTube best
practices and SEO optimization for video content. Excellent attention to
detail and ability to work independently. Strong communication skills Provide
relevant work samples demonstrating your ability to edit real estate-related
videos for YouTube channels. Please note: I will only respond to those who
apply and DM me work samples on IG @corporatevids

",2023-04-22T10:46:53+00:00,3 to 6 months,30+ hrs/week,                0.00,$8.00-$25.00,United States,Yes,              180.00,2,"4.98 Stars, based on 2 feedbacks",Intermediate,5 to 10,False,8,[jobLink](https://www.upwork.com/jobs/~0163181e0b3401075e)
"Active noise cancellation with user-specific voice identification

","Active noise cancellation (ANC) is a technology used in headphones and other
audio devices to cancel out unwanted external noise. It works by using
microphones to pick up external noise and then generating an opposite sound
wave to cancel it out. User-specific voice identification can be used in
conjunction with ANC to create a personalized listening experience. By using
voice recognition technology, the device can identify the user's voice and
adjust the ANC settings accordingly. For example, if the user is in a noisy
environment and wants to listen to music, the device can use ANC to cancel out
the external noise but still allow the user's voice to be heard clearly. This
can be useful for taking phone calls or having conversations without needing
to remove the headphones. Additionally, by identifying the user's voice, the
device can adjust the ANC settings to suit the user's preferences better. For
example, if the user is sensitive to certain frequencies, the device can
adjust the ANC to focus on those frequencies and provide a more effective
noise-canceling experience. Overall, combining ANC with user-specific voice
identification can provide a more personalized and effective listening
experience.

",2023-04-22T09:39:17+00:00,Less than 1 month,,              100.00,,India,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~017738e95c000bfd69)
"Seeking YouTube Editor for Fast Growing Remodeling Company

","We are seeking a talented and experienced YouTube editor to join our team and
help us produce high-quality video content focused on the remodeling industry.
As a YouTube editor, you will be responsible for editing and post-production
of video content for our YouTube channel, which is dedicated to providing
informative and engaging content related to the construction industry.
Responsibilities: -Collaborate with the content team to understand the overall
vision and goals of each video project. -Edit raw footage into high-quality,
engaging, and informative videos. -Use your expertise to creatively enhance
the visual appeal of our videos, including adding graphics, sound effects, and
music. -Ensure videos are delivered on time and meet quality standards. -Stay
up to date with industry trends and best practices in video editing.
Requirements: -Proven experience as a YouTube video editor, preferably with a
focus on the construction industry. -Expertise in video editing software such
as Adobe Premiere Pro and Final Cut Pro. -Knowledge of audio editing software
such as Audacity or Adobe Audition. -Strong attention to detail, time
management skills, and ability to multitask. -Excellent communication skills
and the ability to work collaboratively with the content team. -A portfolio of
work demonstrating your editing skills. If you are passionate about the
construction industry and have a talent for producing engaging and informative
videos, we would love to hear from you. Please submit your resume and
portfolio to be considered for this exciting opportunity.

",2023-04-22T07:25:50+00:00,More than 6 months,Hours to be determined,                0.00,$15.00-$40.00,United States,Yes,                0.00,0,No feedback yet,Intermediate,Less than 5,False,8,[jobLink](https://www.upwork.com/jobs/~0183a6dbde9f29ae50)
"Facebook Video Ads Editor

","We are a rapidly growing hair brush brand seeking a creative and experienced
Video Ads Editor to join our marketing team. You'll be responsible for
creating engaging and visually appealing video ads that showcase our products
and resonate with our target audience. Our ideal candidate is someone with a
keen eye for detail, strong storytelling abilities, and a passion for creating
compelling video content that drives results. Responsibilities: \- Edit and
produce high-quality video ads that effectively promote our hair brush
products, highlighting their features and benefits. \- Collaborate with the
marketing team to develop creative concepts and storylines for video ad
campaigns. \- Source and select appropriate music, sound effects, and
voiceover talent for each video ad. \- Perform color grading, audio mixing,
and other post-production tasks to ensure the final product meets our brand
standards. \- Maintain an organized file structure and archive of video assets
for efficient project management. \- Keep up-to-date with industry trends and
best practices to continuously improve our video ad campaigns. \- Provide
regular progress updates and meet project deadlines. Requirements: \- Proven
experience as a Video Ads Editor, with a strong portfolio showcasing your work
in the beauty, fashion, or lifestyle industry. \- Proficiency in Adobe
Creative Suite, particularly Premiere Pro, After Effects, and Photoshop. \-
Excellent storytelling skills, with the ability to create engaging and
persuasive video content. -Strong attention to detail and a high level of
visual and aesthetic sensibilities. -Knowledge of video compression, file
formats, and codecs, as well as experience exporting videos for various
platforms (e.g., social media, YouTube, etc.). \- Familiarity with motion
graphics and animation techniques is a plus. Excellent communication and
teamwork skills, with the ability to receive and implement feedback. \-
Ability to work independently and manage multiple projects simultaneously. \-
Passionate about the beauty industry, with a strong understanding of our
target audience and their preferences. To apply, please submit: \- A link to
your portfolio showcasing your best video editing work, especially in the
beauty, fashion, or lifestyle industry. \- Your resume, including your
relevant skills and experience. \- A brief cover letter explaining why you're
the ideal candidate for this role and how you would contribute to our brand's
growth. We look forward to reviewing your application and potentially
welcoming you to our creative team!

",2023-04-21T09:58:48+00:00,More than 6 months,Less than 30 hrs/week,                0.00,$3.00-$10.00,Netherlands,Yes,"           78,610.62",50,"3.81 Stars, based on 50 feedbacks",Intermediate,Less than 5,False,8,[jobLink](https://www.upwork.com/jobs/~01cd411b8d92bbbe3f)
"Video ads Editor For Hair brush brand

","We are a rapidly growing hair brush brand seeking a creative and experienced
Video Ads Editor to join our marketing team. You'll be responsible for
creating engaging and visually appealing video ads that showcase our products
and resonate with our target audience. Our ideal candidate is someone with a
keen eye for detail, strong storytelling abilities, and a passion for creating
compelling video content that drives results. Responsibilities: \- Edit and
produce high-quality video ads that effectively promote our hair brush
products, highlighting their features and benefits. \- Collaborate with the
marketing team to develop creative concepts and storylines for video ad
campaigns. \- Source and select appropriate music, sound effects, and
voiceover talent for each video ad. \- Perform color grading, audio mixing,
and other post-production tasks to ensure the final product meets our brand
standards. \- Maintain an organized file structure and archive of video assets
for efficient project management. \- Keep up-to-date with industry trends and
best practices to continuously improve our video ad campaigns. \- Provide
regular progress updates and meet project deadlines. Requirements: \- Proven
experience as a Video Ads Editor, with a strong portfolio showcasing your work
in the beauty, fashion, or lifestyle industry. \- Proficiency in Adobe
Creative Suite, particularly Premiere Pro, After Effects, and Photoshop. \-
Excellent storytelling skills, with the ability to create engaging and
persuasive video content. -Strong attention to detail and a high level of
visual and aesthetic sensibilities. -Knowledge of video compression, file
formats, and codecs, as well as experience exporting videos for various
platforms (e.g., social media, YouTube, etc.). \- Familiarity with motion
graphics and animation techniques is a plus. Excellent communication and
teamwork skills, with the ability to receive and implement feedback. \-
Ability to work independently and manage multiple projects simultaneously. \-
Passionate about the beauty industry, with a strong understanding of our
target audience and their preferences. To apply, please submit: \- A link to
your portfolio showcasing your best video editing work, especially in the
beauty, fashion, or lifestyle industry. \- Your resume, including your
relevant skills and experience. \- A brief cover letter explaining why you're
the ideal candidate for this role and how you would contribute to our brand's
growth. We look forward to reviewing your application and potentially
welcoming you to our creative team!

",2023-04-20T09:52:23+00:00,More than 6 months,Less than 30 hrs/week,                0.00,$3.00-$10.00,Netherlands,Yes,"           78,610.62",50,"3.81 Stars, based on 50 feedbacks",Intermediate,Less than 5,False,8,[jobLink](https://www.upwork.com/jobs/~014af35512dcabc9a3)
